iter	Logloss
0	0.4722766121
1	0.4308637681
2	0.4072838506
3	0.3906078251
4	0.3777827143
5	0.3728530643
6	0.3672639852
7	0.357920791
8	0.3471344628
9	0.3412570065
10	0.3349185615
11	0.3310552977
12	0.3254824178
13	0.3222203045
14	0.316435984
15	0.3121666555
16	0.3094462841
17	0.3052061611
18	0.3021090402
19	0.2984155756
20	0.2961595941
21	0.2935627981
22	0.2910671288
23	0.2878005805
24	0.2851453186
25	0.2825694936
26	0.2791165795
27	0.2762071053
28	0.2741010096
29	0.2717492872
30	0.2702885329
31	0.2681615994
32	0.2664403868
33	0.2634436906
34	0.2605707264
35	0.2586543567
36	0.2567318622
37	0.2551561809
38	0.25249876
39	0.2490921002
40	0.2469375449
41	0.2432302482
42	0.2415002479
43	0.2395524786
44	0.2376640766
45	0.2358891602
46	0.2338785762
47	0.2318677681
48	0.2290174967
49	0.227932061
