iter	Passed	Remaining
0	5	266
1	9	238
2	14	234
3	19	224
4	23	215
5	28	209
6	33	205
7	38	203
8	45	206
9	50	203
10	57	204
11	63	201
12	72	206
13	78	201
14	84	197
15	89	189
16	93	181
17	99	176
18	104	169
19	109	163
20	116	160
21	121	154
22	125	146
23	131	141
24	135	135
25	139	129
26	145	123
27	149	117
28	154	112
29	160	106
30	165	101
31	171	96
32	177	91
33	181	85
34	186	80
35	191	74
36	195	68
37	201	63
38	206	58
39	211	52
40	216	47
41	221	42
42	225	36
43	230	31
44	235	26
45	242	21
46	248	15
47	253	10
48	258	5
49	265	0
